iteration,log_likelihood,beta,spectral_radius,projected,elapsed_seconds,mu_min,mu_max,alpha_sum
1,5357.327461185367,0.3,0.9800000000000002,True,0.643204927444458,0.000284864380275194,0.003722298703142505,16.21493027586538
2,98387.48626284278,0.3,0.9799999999999995,True,0.6108155250549316,4.137001165184679e-06,8.02363003271734e-05,16.184173529072332
3,98767.11333369718,0.3,0.9800000000000018,True,0.5863323211669922,6.047922521327945e-08,5.733906898106229e-05,16.180370200077284
4,98773.22098492457,0.3,0.9800000000000019,True,0.5513410568237305,8.842274105115335e-10,5.530529730668007e-05,16.177216162901374
5,98774.69556334802,0.3,0.9800000000000011,True,0.6041288375854492,1.2927711295158796e-11,5.502434394667077e-05,16.174437881028155
6,98776.09368327737,0.3,0.9799999999999992,True,0.6916491985321045,1e-12,5.489816329115149e-05,16.17203084106866
7,98777.47758396735,0.3,0.9799999999999998,True,0.5926928520202637,1e-12,5.4789729040749326e-05,16.169990713743026
8,98778.84846878139,0.3,0.98,True,0.5734198093414307,1e-12,5.46871983436221e-05,16.168312940951004
9,98780.20666852788,0.3,0.979999999999998,True,0.604358434677124,1e-12,5.4589316594619805e-05,16.166992961308036
10,98781.55249180071,0.3,0.980000000000002,True,0.7313990592956543,1e-12,5.4495727969112805e-05,16.16602623360567
11,98782.88623880356,0.3,0.9800000000000001,True,0.6141605377197266,1e-12,5.440616910337573e-05,16.16540824004999
12,98784.20820164443,0.3,0.9800000000000008,True,0.6438572406768799,1e-12,5.432040162690717e-05,16.16513448765908
13,98785.51866447543,0.3,0.9799999999999985,True,0.5068845748901367,1e-12,5.4238205202788794e-05,16.165200509396698
14,98786.81790362488,0.3,0.9800000000000015,True,0.575192928314209,1e-12,5.415937557763273e-05,16.165601865180854
15,98788.10618777023,0.3,0.9800000000000024,True,0.6166074275970459,1e-12,5.408372316539389e-05,16.166334142782652
