source_iata,target_iata,source_NODE,target_NODE,edge_type,allowed,flight_count,event_count,mean_departure_delay
ATL,ATL,0,0,self_loop,1,376836,62643,
ATL,ORD,0,1,route,1,7110,1364,12.465682137834037
ATL,DFW,0,2,route,1,7601,1221,9.45638731745823
ATL,DEN,0,3,route,1,5443,1096,12.162226713209629
ATL,LAX,0,4,route,1,6212,1156,9.890051513200255
ATL,SFO,0,5,route,1,3408,685,10.772887323943662
ATL,PHX,0,6,route,1,3974,557,6.481127327629593
ATL,IAH,0,7,route,1,4180,820,12.3255980861244
ATL,LAS,0,8,route,1,4508,896,11.63287488908607
ATL,MSP,0,9,route,1,5160,821,7.957558139534884
ATL,SEA,0,10,route,1,2939,429,7.958829533855052
ATL,MCO,0,11,route,1,8925,1447,8.53624649859944
ATL,DTW,0,12,route,1,5286,952,10.057321225879685
ATL,BOS,0,13,route,1,5074,983,10.353173039022469
ATL,CLT,0,14,route,1,6851,838,5.046708509706612
ATL,EWR,0,15,route,1,5457,1203,14.556349642660802
ATL,SLC,0,16,route,1,2783,385,7.29500538986705
ATL,LGA,0,17,route,1,8677,1934,13.766393914947562
ATL,JFK,0,18,route,1,2075,511,16.833734939759037
ATL,BWI,0,19,route,1,6344,1092,9.239754098360656
ATL,MDW,0,20,route,1,4923,858,9.949217956530571
ATL,FLL,0,21,route,1,8064,1411,9.406994047619047
ATL,DCA,0,22,route,1,6975,1223,9.216487455197132
ATL,SAN,0,23,route,1,2226,303,7.620844564240791
ATL,MIA,0,24,route,1,5601,799,6.798607391537225
ATL,PHL,0,25,route,1,7148,1447,11.29546726357023
ATL,TPA,0,26,route,1,7700,1375,9.563116883116884
ATL,DAL,0,27,route,1,3110,520,8.595498392282957
ATL,HOU,0,28,route,1,4394,786,9.994538006372323
ATL,PDX,0,29,route,1,1173,179,8.805626598465473
ORD,ATL,1,0,route,1,7010,1567,15.020970042796003
ORD,ORD,1,1,self_loop,1,304938,68882,
ORD,DFW,1,2,route,1,8194,2100,16.995362460336832
ORD,DEN,1,3,route,1,6043,1751,20.79099784875062
