NODE,iata_code,n_flights,n_valid_rotation,median_turnaround_min,valid_rotation_rate,event_count
0,ATL,376836,361954,66.0,0.9605080194036664,62643
1,ORD,304938,292604,71.0,0.9595524336094552,68882
2,DFW,253928,242707,71.0,0.9558103084338868,52379
3,DEN,212035,206662,62.0,0.9746598438936968,45174
4,LAX,210160,202803,70.0,0.9649933384088314,41450
5,SFO,159974,154523,76.0,0.9659257129283508,31423
6,PHX,158817,155338,63.0,0.978094284616886,27861
7,IAH,157611,145513,78.0,0.9232413981257652,31503
8,LAS,144900,144355,56.0,0.9962387853692202,29337
9,MSP,121877,118193,68.0,0.9697728037283492,17152
10,SEA,120818,118225,79.0,0.97853796619709,17602
11,MCO,118884,116561,63.0,0.980459944147236,23236
12,DTW,117132,114196,69.0,0.9749342621999112,18591
13,BOS,115308,112992,69.0,0.9799146633364554,20008
14,CLT,108794,106286,72.0,0.9769472581208524,17579
15,EWR,108190,99201,89.0,0.9169146871245032,24257
16,SLC,105568,102877,63.0,0.9745093210063656,12489
17,LGA,103539,101902,59.0,0.9841895324467108,22108
18,JFK,100161,90695,107.0,0.9054921576262218,19797
19,BWI,92548,90808,59.0,0.9811989454121104,21362
20,MDW,86537,85391,58.0,0.98675710967563,19726
21,FLL,78598,75637,66.0,0.9623272856815696,15249
22,DCA,78537,78020,60.0,0.9934171154997008,11864
23,SAN,75612,75125,56.0,0.9935592234036924,12692
24,MIA,74502,61893,117.0,0.830756221309495,16265
25,PHL,71022,67977,81.0,0.9571259609698404,12778
26,TPA,68414,67947,56.0,0.9931739117724442,11970
27,DAL,64733,63547,51.0,0.9816785874283596,14423
28,HOU,55960,54422,54.0,0.9725160829163688,12424
29,PDX,51416,51034,69.0,0.9925704060992688,6442
